"","x"
"1","31600-31600"
"2","31205-31205"
"3","31106-31106"
"4","31217-31218"
"5","31236-31236"
"6","31101-31101"
"7","31201-31201"
"8","31228-31228"
"9","31200-31200"
"10","31613-31613"
"11","31203-31203"
"12","31208-31208"
"13","31235-31235"
"14","31212-31212"
"15","31104-31104"
"16","31003-31003"
"17","31222-31222"
"18","31108-31108"
"19","31215-31215"
"20","31217-31217"
"21","31219-31219"
"22","31214-31214"
"23","31225-31225"
"24","31204-31204"
"25","31200-31215"
"26","31212-31200"
"27","31104-31103"
"28","31101-31202"
"29","31110-31200"
"30","31203-31228"
"31","31200-31214"
"32","31602-31104"
"33","31212-31205"
"34","31200-31110"
"35","31111-31201"
"36","31110-31214"
"37","31620-31600"
"38","31202-31101"
"39","31202-31200"
"40","31110-31104"
"41","31205-31212"
"42","31201-31200"
"43","31202-31214"
"44","31613-31606"
"45","31214-31200"
"46","31619-31623"
"47","31619-31613"
"48","31208-31108"
"49","31201-31202"
"50","31201-31214"
"51","31228-31203"
"52","31200-31205"
"53","31101-31203"
"54","31101-31214"
"55","31229-31200"
"56","31201-31229"
"57","31105-31101"
"58","31200-31111"
"59","31104-31105"
"60","31101-31200"
"61","31104-31106"
"62","31201-31101"
"63","31107-31602"
"64","31200-31203"
"65","31212-31110"
"66","31202-31201"
"67","31204-31205"
"68","31203-31110"
"69","31011-31007"
"70","31203-31200"
"71","31229-31214"
"72","31602-31107"
"73","31201-31111"
"74","31105-31203"
"75","31606-31613"
"76","31101-31201"
"77","31201-31212"
"78","31213-31214"
"79","31602-31400"
"80","31214-31201"
"81","31200-31104"
"82","31007-31009"
"83","31111-31200"
"84","31110-31205"
"85","31205-31200"
"86","31104-31214"
"87","31200-31201"
"88","31106-31104"
"89","31203-31101"
"90","31602-31101"
"91","31104-31200"
"92","31104-31201"
"93","31103-31101"
"94","31101-31224"
"95","31106-31101"
"96","31229-31111"
"97","31205-31201"
"98","31401-31602"
"99","31104-31205"
"100","31214-31101"
"101","31107-31200"
"102","31104-31110"
"103","31623-31619"
"104","31105-31104"
"105","31104-31602"
"106","31212-31201"
"107","31400-31602"
"108","31229-31201"
"109","31110-31201"
"110","31200-31101"
"111","31107-31104"
"112","31104-31107"
"113","31613-31619"
"114","31007-31010"
"115","31007-31011"
"116","31007-31013"
"117","31009-31007"
"118","31013-31007"
"119","31100-31206"
"120","31101-31105"
"121","31101-31213"
"122","31101-31216"
"123","31103-31104"
"124","31103-31106"
"125","31103-31200"
"126","31103-31214"
"127","31105-31200"
"128","31106-31103"
"129","31108-31218"
"130","31110-31212"
"131","31200-31107"
"132","31200-31202"
"133","31200-31229"
"134","31201-31110"
"135","31201-31600"
"136","31203-31205"
"137","31203-31216"
"138","31205-31110"
"139","31205-31214"
"140","31205-31229"
"141","31206-31100"
"142","31213-31101"
"143","31213-31201"
"144","31214-31104"
"145","31214-31110"
"146","31214-31205"
"147","31214-31213"
"148","31214-31221"
"149","31218-31108"
"150","31229-31205"
"151","31303-31301"
"152","31303-31302"
"153","31602-31200"
"154","31602-31401"
"155","31613-31622"
"156","31620-31108"
"157","31622-31623"
"158","31623-31611"
"159","31623-31622"
