"","noncoverage_rates_2010.route","p_vals"
"1","31600-31600",7.03291855656038e-24
"2","31205-31205",0
"3","31235-31235",0
"4","31212-31212",4.88385634404404e-05
"5","31104-31104",0
"6","31222-31222",0
"7","31215-31215",0
"8","31217-31217",0
"9","31200-31215",6.5295953347779e-05
"10","31212-31200",0.00453031097597686
"11","31104-31103",0
"12","31101-31202",9.11647730819623e-05
"13","31602-31104",0
"14","31212-31205",0
"15","31200-31110",0
"16","31110-31214",0
"17","31202-31200",0
"18","31110-31104",0
"19","31202-31214",0.0127710448592544
"20","31613-31606",0
"21","31214-31200",0
"22","31201-31202",0
"23","31201-31214",0.000125861361682088
"24","31200-31205",0
"25","31229-31200",0
"26","31105-31101",0
"27","31200-31111",0
"28","31104-31106",0
"29","31201-31101",0.0099861110879038
"30","31212-31110",0
"31","31204-31205",0.00163130854941212
"32","31203-31110",8.12589994072077e-06
"33","31203-31200",0
"34","31602-31107",0
"35","31201-31111",0.000298783305747517
"36","31105-31203",0.00594324487441461
"37","31101-31201",0
"38","31213-31214",0
"39","31214-31201",0
"40","31200-31104",0.00073281361397769
"41","31110-31205",0
"42","31602-31101",6.21031039844425e-05
"43","31104-31200",2.94623941813981e-07
"44","31104-31201",0
"45","31101-31224",0
"46","31106-31101",0
"47","31229-31111",8.77034406767075e-17
"48","31205-31201",0
"49","31107-31200",0
"50","31104-31110",1.20457529602268e-10
"51","31105-31104",0.00150851538524342
"52","31104-31602",0
"53","31200-31101",0
"54","31101-31105",8.21257053941045e-05
"55","31101-31213",3.84028377521445e-08
"56","31103-31106",1.84994284862283e-14
"57","31103-31200",2.17864762134691e-05
"58","31103-31214",0.00303532423384937
"59","31105-31200",0
"60","31106-31103",9.55443312684737e-06
"61","31110-31212",0
"62","31200-31229",0
"63","31201-31110",1.49677591322361e-09
"64","31201-31600",1.94782613840554e-06
"65","31205-31110",0
"66","31205-31214",0
"67","31205-31229",3.13210987959156e-06
"68","31206-31100",0
"69","31213-31101",0.00838556274698455
"70","31213-31201",0
"71","31214-31213",0
"72","31218-31108",5.94048143800325e-05
"73","31303-31302",0.00239038709009908
"74","31602-31200",0
"75","31613-31622",0
"76","31623-31611",0
